Class,1 Hr Diff,2 Hr Diff,3 Hr Diff,4 Hr Diff,5 Hr Diff,6 Hr Diff,7 Hr Diff,7 Hr MA,Compound Score,Positive Score,Neutral Score,Negative Score
-1,-1550.8499999999985,261.1800000000003,-1123.1199999999953,54.04000000000087,42.69000000000233,-99.57999999999447,-977.1199999999953,42806.25142857141,0.9999,0.91,0.09,0.0
-1,-220.29000000000087,-1771.1399999999994,40.88999999999942,-1343.4099999999962,-166.25,-177.59999999999854,-319.86999999999534,42760.5557142857,0.9998,0.904,0.093,0.003
-1,-223.61000000000058,-443.90000000000146,-1994.75,-182.72000000000116,-1567.0199999999968,-389.8600000000006,-401.2099999999991,42703.23999999999,0.9998,0.898,0.102,0.0
1,51.12999999999738,-172.4800000000032,-392.7700000000041,-1943.6200000000026,-131.59000000000378,-1515.8899999999994,-338.7300000000032,42654.84999999999,0.9998,0.905,0.088,0.007
1,2062.949999999997,2114.0799999999945,1890.469999999994,1670.179999999993,119.32999999999447,1931.3599999999933,547.0599999999977,42733.00142857141,0.9998,0.908,0.092,0.0
1,166.35000000000582,166.35000000000582,166.35000000000582,166.35000000000582,166.35000000000582,166.35000000000582,166.35000000000582,44155.10428571423,0.9998,0.908,0.089,0.003
-1,-322.7900000000009,-322.7900000000009,-156.43999999999505,-156.43999999999505,-156.43999999999505,-156.43999999999505,-156.43999999999505,44156.51999999995,1.0,0.925,0.073,0.001
-1,-3.819999999999709,-326.6100000000006,-326.6100000000006,-160.25999999999476,-160.25999999999476,-160.25999999999476,-160.25999999999476,44133.62571428566,0.9999,0.873,0.117,0.01
-1,-70.91999999999825,-70.91999999999825,-74.73999999999796,-397.52999999999884,-397.52999999999884,-231.17999999999302,-231.17999999999302,44077.70571428567,0.9999,0.886,0.11,0.005
1,231.17999999999302,231.17999999999302,160.25999999999476,160.25999999999476,156.43999999999505,-166.35000000000582,-166.35000000000582,44020.91571428568,0.9996,0.941,0.059,0.0
-1,-31.639999999999418,-31.639999999999418,-31.639999999999418,-31.639999999999418,199.5399999999936,199.5399999999936,128.61999999999534,44060.76857142853,0.9999,0.902,0.086,0.011
1,31.639999999999418,0.0,0.0,0.0,0.0,231.17999999999302,231.17999999999302,44093.79428571424,0.9999,0.933,0.06,0.007
-1,-96.5399999999936,-64.89999999999418,-96.5399999999936,-96.5399999999936,-96.5399999999936,-96.5399999999936,134.63999999999942,44113.028571428535,0.9999,0.937,0.063,0.0
1,232.02999999999884,135.49000000000524,167.13000000000466,135.49000000000524,135.49000000000524,135.49000000000524,135.49000000000524,44132.384285714244,0.9999,0.883,0.117,0.0
1,555.1199999999953,555.1199999999953,787.1499999999942,690.6100000000006,722.25,690.6100000000006,690.6100000000006,44250.39857142853,0.9998,0.877,0.12,0.003
-1,-885.8399999999965,-330.72000000000116,-330.72000000000116,-98.69000000000233,-195.22999999999593,-163.5899999999965,-195.22999999999593,44222.50857142853,0.9999,0.904,0.096,0.0
1,191.7699999999968,-694.0699999999997,-138.95000000000437,-138.95000000000437,93.07999999999447,-3.459999999999127,28.18000000000029,44226.534285714246,0.9999,0.867,0.126,0.007
-1,-353.3199999999997,-161.5500000000029,-1047.3899999999994,-492.2700000000041,-492.2700000000041,-260.24000000000524,-356.77999999999884,44175.56571428567,0.9999,0.677,0.323,0.0
-1,-212.40999999999622,-212.40999999999622,-565.7299999999959,-373.9599999999991,-1259.7999999999956,-704.6800000000003,-704.6800000000003,44037.719999999965,0.9998,0.881,0.116,0.003
1,147.43999999999505,-64.97000000000116,-64.97000000000116,-418.2900000000009,-226.52000000000407,-1112.3600000000006,-557.2400000000052,43958.11428571425,0.9996,0.888,0.109,0.003
