Class,1 Hr Diff,2 Hr Diff,3 Hr Diff,4 Hr Diff,5 Hr Diff,6 Hr Diff,7 Hr Diff,7 Hr MA,Compound Score,Positive Score,Neutral Score,Negative Score
1,137.16999999999825,-95.70999999999913,-95.70999999999913,44.58999999999651,322.5,399.4400000000023,322.5,39936.45571428573,0.9999,0.95,0.045,0.005
-1,-605.3099999999977,-468.1399999999994,-701.0199999999968,-701.0199999999968,-560.7200000000012,-282.8099999999977,-205.86999999999534,39907.045714285734,0.9997,0.951,0.043,0.005
1,363.23999999999796,363.23999999999796,-242.0699999999997,-104.90000000000146,-337.77999999999884,-337.77999999999884,-197.4800000000032,39838.43285714288,0.9999,0.936,0.058,0.005
-1,-363.23999999999796,0.0,0.0,-605.3099999999977,-468.1399999999994,-701.0199999999968,-701.0199999999968,39738.28714285717,0.9997,0.942,0.049,0.008
1,609.8399999999965,609.8399999999965,609.8399999999965,609.8399999999965,609.8399999999965,246.59999999999854,609.8399999999965,39571.91142857146,0.9999,0.957,0.043,0.0
-1,-246.59999999999854,363.23999999999796,363.23999999999796,363.23999999999796,363.23999999999796,363.23999999999796,0.0,39571.91142857146,0.9995,0.944,0.056,0.0
1,242.0699999999997,-4.529999999998836,605.3099999999977,605.3099999999977,605.3099999999977,605.3099999999977,605.3099999999977,39658.38428571432,0.9999,0.949,0.049,0.002
-1,-242.0699999999997,0.0,-246.59999999999854,363.23999999999796,363.23999999999796,363.23999999999796,363.23999999999796,39710.275714285744,0.9987,0.862,0.138,0.0
1,162.09000000000378,-79.97999999999593,162.09000000000378,-84.50999999999476,525.3300000000017,525.3300000000017,525.3300000000017,39785.322857142884,0.9998,0.941,0.056,0.003
1,79.97999999999593,79.97999999999593,79.97999999999593,79.97999999999593,242.0699999999997,0.0,242.0699999999997,39957.92571428573,0.9988,0.856,0.139,0.005
-1,-271.34999999999854,-271.34999999999854,-191.37000000000262,-191.37000000000262,-191.37000000000262,-191.37000000000262,-29.279999999998836,39953.74285714287,0.9988,0.961,0.033,0.006
-1,-86.12999999999738,-357.4799999999959,-357.4799999999959,-277.5,-277.5,-277.5,-277.5,39914.10000000001,0.9999,0.939,0.059,0.002
1,724.9099999999962,638.7799999999988,367.4300000000003,367.4300000000003,447.4099999999962,447.4099999999962,447.4099999999962,39978.01571428573,0.9997,0.91,0.09,0.0
-1,-434.08000000000175,-434.08000000000175,290.82999999999447,204.6999999999971,-66.65000000000146,-66.65000000000146,13.32999999999447,40043.835714285735,0.9995,0.923,0.077,0.0
-1,-3.25,-437.33000000000175,-437.33000000000175,287.57999999999447,201.4499999999971,-69.90000000000146,-69.90000000000146,40033.85000000002,0.9998,0.953,0.044,0.004
-1,-201.4499999999971,-204.6999999999971,-638.7799999999988,-638.7799999999988,86.12999999999738,0.0,-271.34999999999854,39995.08571428573,0.9994,0.926,0.074,0.0
1,271.34999999999854,271.34999999999854,69.90000000000146,66.65000000000146,-367.4300000000003,-367.4300000000003,357.4799999999959,40046.15428571431,0.9938,0.981,0.019,0.0
-1,-271.34999999999854,0.0,0.0,-201.4499999999971,-204.6999999999971,-638.7799999999988,-638.7799999999988,39954.900000000016,0.9987,0.923,0.069,0.008
-1,-235.4100000000035,-506.76000000000204,-235.4100000000035,-235.4100000000035,-436.8600000000006,-440.1100000000006,-874.1900000000023,39830.01571428573,0.9998,0.951,0.041,0.009
1,356.56000000000495,356.56000000000495,356.56000000000495,121.15000000000146,-150.1999999999971,121.15000000000146,121.15000000000146,39722.04142857145,0.9992,0.923,0.07,0.007
-1,-166.6600000000035,-166.6600000000035,-166.6600000000035,189.90000000000146,189.90000000000146,189.90000000000146,-45.51000000000204,39711.39000000002,0.9999,0.924,0.068,0.009
1,491.66999999999825,325.00999999999476,325.00999999999476,325.00999999999476,681.5699999999997,681.5699999999997,681.5699999999997,39808.75714285717,0.9998,0.945,0.055,0.0
-1,-174.80999999999767,316.8600000000006,150.1999999999971,150.1999999999971,150.1999999999971,506.76000000000204,506.76000000000204,39881.15142857145,0.9928,0.95,0.05,0.0
-1,-316.8600000000006,-316.8600000000006,-316.8600000000006,-491.66999999999825,0.0,-166.6600000000035,-166.6600000000035,39951.19428571431,0.9999,0.899,0.096,0.004
1,491.66999999999825,174.80999999999767,174.80999999999767,174.80999999999767,0.0,491.66999999999825,325.00999999999476,39997.62428571431,0.9996,0.941,0.049,0.01
-1,-472.91999999999825,-472.91999999999825,18.75,-298.1100000000006,-298.1100000000006,-298.1100000000006,-472.91999999999825,40000.30285714288,0.9995,0.934,0.06,0.005
-1,-111.19999999999709,-584.1199999999953,-584.1199999999953,-92.44999999999709,-409.3099999999977,-409.3099999999977,-409.3099999999977,39941.83000000002,0.9996,0.9,0.1,0.0
1,176.83000000000175,65.63000000000466,-407.2899999999936,-407.2899999999936,84.38000000000466,-232.47999999999593,-232.47999999999593,39908.61857142859,0.9999,0.904,0.087,0.009
-1,-243.69000000000233,-66.86000000000058,-178.05999999999767,-650.9799999999959,-650.9799999999959,-159.30999999999767,-476.16999999999825,39840.5942857143,0.9999,0.914,0.081,0.005
1,349.16999999999825,349.16999999999825,105.47999999999593,282.3099999999977,171.11000000000058,-301.8099999999977,-301.8099999999977,39774.720000000016,1.0,0.914,0.084,0.002
1,246.61000000000058,595.7799999999988,595.7799999999988,352.0899999999965,528.9199999999983,417.72000000000116,-55.19999999999709,39766.8342857143,1.0,0.911,0.081,0.008
-1,-471.0199999999968,-224.40999999999622,124.76000000000204,124.76000000000204,-118.93000000000029,57.900000000001455,-53.299999999995634,39759.220000000016,1.0,0.904,0.089,0.007
1,161.63999999999942,-309.3799999999974,-62.7699999999968,286.40000000000146,286.40000000000146,42.70999999999913,219.54000000000087,39790.582857142865,1.0,0.914,0.079,0.008
1,26.5199999999968,26.5199999999968,188.15999999999622,-282.8600000000006,-36.25,312.91999999999825,312.91999999999825,39841.387142857166,0.9997,0.92,0.076,0.004
