Class,1 Hr Diff,2 Hr Diff,3 Hr Diff,4 Hr Diff,5 Hr Diff,6 Hr Diff,7 Hr Diff,7 Hr MA,Compound Score,Positive Score,Neutral Score,Negative Score
1,1943.6200000000026,1994.75,1812.0299999999988,1550.8499999999985,1451.270000000004,1593.5400000000009,1451.270000000004,42534.00142857141,0.9998,0.869,0.128,0.003
1,334.15000000000146,2277.770000000004,2328.9000000000015,2146.1800000000003,1885.0,1785.4200000000055,1927.6900000000023,42809.38571428571,0.9997,0.827,0.166,0.007
-1,-65.91000000000349,268.23999999999796,2211.8600000000006,2262.989999999998,2080.269999999997,1819.0899999999965,1719.510000000002,43055.02999999999,0.9998,0.851,0.149,0.0
1,29.040000000000873,-36.87000000000262,297.27999999999884,2240.9000000000015,2292.029999999999,2109.3099999999977,1848.1299999999974,43319.04857142857,0.9999,0.797,0.185,0.017
-1,-260.3600000000006,-231.3199999999997,-297.2300000000032,36.919999999998254,1980.5400000000009,2031.6699999999983,1848.949999999997,43583.184285714284,0.9999,0.871,0.121,0.008
1,178.12999999999738,178.12999999999738,-82.2300000000032,-53.19000000000233,-119.10000000000582,215.04999999999563,2158.6699999999983,44181.80428571428,0.9998,0.875,0.125,0.0
1,119.10000000000582,297.2300000000032,297.2300000000032,36.87000000000262,65.91000000000349,0.0,334.15000000000146,44229.539999999986,1.0,0.856,0.142,0.003
-1,-371.26000000000204,-252.15999999999622,-74.02999999999884,-74.02999999999884,-334.3899999999994,-305.34999999999854,-371.26000000000204,44176.50285714284,0.9998,0.819,0.172,0.009
-1,-74.73999999999796,-446.0,-326.8999999999942,-148.7699999999968,-148.7699999999968,-409.1299999999974,-380.0899999999965,44122.20428571427,0.9998,0.846,0.149,0.006
1,397.52999999999884,322.7900000000009,-48.470000000001164,70.63000000000466,248.76000000000204,248.76000000000204,-11.599999999998545,44120.54714285714,0.9998,0.85,0.147,0.003
-1,-326.6100000000006,70.91999999999825,-3.819999999999709,-375.08000000000175,-255.97999999999593,-77.84999999999854,-77.84999999999854,44109.42571428571,0.9998,0.795,0.196,0.008
1,160.25999999999476,-166.35000000000582,231.17999999999302,156.43999999999505,-214.82000000000698,-95.72000000000116,82.40999999999622,44121.19857142856,0.9998,0.845,0.152,0.003
-1,-271.4799999999959,-271.4799999999959,-111.22000000000116,-437.83000000000175,-40.30000000000291,-115.04000000000087,-486.3000000000029,44038.05285714286,0.9999,0.845,0.151,0.004
1,304.3899999999994,32.91000000000349,32.91000000000349,193.16999999999825,-133.44000000000233,264.0899999999965,189.34999999999854,44065.102857142854,0.9998,0.817,0.177,0.006
-1,-389.6900000000023,-389.6900000000023,-85.30000000000291,-356.77999999999884,-356.77999999999884,-196.52000000000407,-523.1300000000047,44028.097142857136,0.9998,0.848,0.152,0.0
-1,-212.40999999999622,-602.0999999999985,-602.0999999999985,-297.7099999999991,-569.189999999995,-569.189999999995,-408.9300000000003,43969.678571428565,0.9998,0.818,0.182,0.0
1,373.9599999999991,161.5500000000029,-228.13999999999942,-228.13999999999942,76.25,-195.22999999999593,-195.22999999999593,43941.78857142856,0.9999,0.606,0.391,0.003
-1,-226.52000000000407,147.43999999999505,-64.97000000000116,-454.6600000000035,-454.6600000000035,-150.27000000000407,-421.75,43881.53857142856,0.9999,0.848,0.146,0.005
